model,feature,step_pct,cknna,cos_dist,n_eps,n_with_feat,random_mean,random_std
motus,V-B21,50,0.806476891040802,0.009069131687283516,20,20,0.4731127262115479,0.057864194952985455
motus,V-B21,75,0.8021602034568787,0.006843801587820053,20,20,0.4731127262115479,0.057864194952985455
motus,V-B21,100,0.8617491722106934,0.004177062772214413,20,20,0.4731127262115479,0.057864194952985455
motus,V-B29,0,0.8242554068565369,0.004190848208963871,20,20,0.4731127262115479,0.057864194952985455
motus,V-B29,25,0.7962476015090942,0.00361545174382627,20,20,0.4731127262115479,0.057864194952985455
motus,V-B29,50,0.7962595224380493,0.0038751254323869944,20,20,0.4731127262115479,0.057864194952985455
motus,V-B29,75,0.7996422052383423,0.0044915201142430305,20,20,0.4731127262115479,0.057864194952985455
motus,V-B29,100,0.8323462605476379,0.005131394136697054,20,20,0.4731127262115479,0.057864194952985455
motus,V-Norm,0,0.8320454359054565,0.00211972463876009,20,20,0.4731127262115479,0.057864194952985455
motus,V-Norm,25,0.837466835975647,0.0019127861596643925,20,20,0.4731127262115479,0.057864194952985455
motus,V-Norm,50,0.7961310148239136,0.0025096500758081675,20,20,0.4731127262115479,0.057864194952985455
motus,V-Norm,75,0.7963269352912903,0.0044088843278586864,20,20,0.4731127262115479,0.057864194952985455
motus,V-Norm,100,0.8408656716346741,0.0063436878845095634,20,20,0.4731127262115479,0.057864194952985455
motus,T-D1,0,0.7893527150154114,0.2485072910785675,20,20,0.4731127262115479,0.057864194952985455
motus,T-D1,25,0.7893527150154114,0.2485072910785675,20,20,0.4731127262115479,0.057864194952985455
motus,T-D1,50,0.7893527150154114,0.2485072910785675,20,20,0.4731127262115479,0.057864194952985455
motus,T-D1,75,0.7893527150154114,0.2485072910785675,20,20,0.4731127262115479,0.057864194952985455
motus,T-D1,100,0.7893527150154114,0.2485072910785675,20,20,0.4731127262115479,0.057864194952985455
vidar,V-D1,0,0.7567625641822815,3.470809679129161e-05,20,20,0.529733407497406,0.05007135341676206
vidar,V-D1,25,0.7172139883041382,0.0011424098629504442,20,20,0.529733407497406,0.05007135341676206
vidar,V-D1,50,0.6649924516677856,0.0022751237265765667,20,20,0.529733407497406,0.05007135341676206
vidar,V-D1,75,0.67391437292099,0.0029134750366210938,20,20,0.529733407497406,0.05007135341676206
vidar,V-D1,100,0.6739246249198914,0.003230764763429761,20,20,0.529733407497406,0.05007135341676206
vidar,V-B0,0,0.7357415556907654,0.00010083443339681253,20,20,0.529733407497406,0.05007135341676206
vidar,V-B0,25,0.7146857976913452,0.00010704869055189192,20,20,0.529733407497406,0.05007135341676206
vidar,V-B0,50,0.6921575665473938,0.0002423606492811814,20,20,0.529733407497406,0.05007135341676206
vidar,V-B0,75,0.7141461968421936,0.0005930542829446495,20,20,0.529733407497406,0.05007135341676206
vidar,V-B0,100,0.7262311577796936,0.0017259333981201053,20,20,0.529733407497406,0.05007135341676206
vidar,V-B7,0,0.7460916042327881,0.0017874215263873339,20,20,0.529733407497406,0.05007135341676206
vidar,V-B7,25,0.746110737323761,0.0011494781356304884,20,20,0.529733407497406,0.05007135341676206
vidar,V-B7,50,0.7181937098503113,0.0015223007649183273,20,20,0.529733407497406,0.05007135341676206
vidar,V-B7,75,0.7262459397315979,0.002360872458666563,20,20,0.529733407497406,0.05007135341676206
vidar,V-B7,100,0.7262346148490906,0.0023558828979730606,20,20,0.529733407497406,0.05007135341676206
vidar,V-B14,0,0.7181801199913025,0.004030612763017416,20,20,0.529733407497406,0.05007135341676206
vidar,V-B14,25,0.718294620513916,0.0034277820959687233,20,20,0.529733407497406,0.05007135341676206
vidar,V-B14,50,0.7182015180587769,0.003450168762356043,20,20,0.529733407497406,0.05007135341676206
vidar,V-B14,75,0.7183920741081238,0.0033959303982555866,20,20,0.529733407497406,0.05007135341676206
vidar,V-B14,100,0.7262618541717529,0.002225470496341586,20,20,0.529733407497406,0.05007135341676206
vidar,V-B21,0,0.7206709980964661,0.006583272945135832,20,20,0.529733407497406,0.05007135341676206
vidar,V-B21,25,0.730615496635437,0.005001614335924387,20,20,0.529733407497406,0.05007135341676206
vidar,V-B21,50,0.718263566493988,0.004552915692329407,20,20,0.529733407497406,0.05007135341676206
vidar,V-B21,75,0.7261747717857361,0.00476338854059577,20,20,0.529733407497406,0.05007135341676206
vidar,V-B21,100,0.7260416746139526,0.005001181270927191,20,20,0.529733407497406,0.05007135341676206
vidar,V-B29,0,0.7181944251060486,0.0009249395225197077,20,20,0.529733407497406,0.05007135341676206
vidar,V-B29,25,0.7141713500022888,0.00074714922811836,20,20,0.529733407497406,0.05007135341676206
