model,feature_source,vlm_variant_used,horizon,cknna_k10,robotwin_sr_easy,robotwin_sr_hard,robotwin_sr_avg
lingbot-va-posttrain-robotwin,V-B7,,150,0.162577,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B7,,150,0.158040,88.7,87.0,87.85
xvla-robotwin2,V-B7,imgtext,150,0.423665,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B7,imgtext,150,0.409780,50.38,,50.38
abot-m0-robotwin2,V-B7,imgtext,150,0.421935,80.42,81.16,80.79
vidar_aloha_native,V-B7,,150,0.101203,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B7,,220,0.150934,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B7,,220,0.154778,88.7,87.0,87.85
xvla-robotwin2,V-B7,imgtext,220,0.399408,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B7,imgtext,220,0.381127,50.38,,50.38
abot-m0-robotwin2,V-B7,imgtext,220,0.398458,80.42,81.16,80.79
vidar_aloha_native,V-B7,,220,0.095881,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B14,,1,0.183540,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B14,,1,0.203203,88.7,87.0,87.85
xvla-robotwin2,V-B14,imgtext,1,0.469821,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B14,imgtext,1,0.420960,50.38,,50.38
abot-m0-robotwin2,V-B14,imgtext,1,0.429929,80.42,81.16,80.79
vidar_aloha_native,V-B14,,1,0.085811,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B14,,3,0.183660,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B14,,3,0.203776,88.7,87.0,87.85
xvla-robotwin2,V-B14,imgtext,3,0.468762,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B14,imgtext,3,0.419963,50.38,,50.38
abot-m0-robotwin2,V-B14,imgtext,3,0.430427,80.42,81.16,80.79
vidar_aloha_native,V-B14,,3,0.086991,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B14,,7,0.186892,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B14,,7,0.207330,88.7,87.0,87.85
xvla-robotwin2,V-B14,imgtext,7,0.470188,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B14,imgtext,7,0.423339,50.38,,50.38
abot-m0-robotwin2,V-B14,imgtext,7,0.429285,80.42,81.16,80.79
vidar_aloha_native,V-B14,,7,0.090356,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B14,,15,0.188894,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B14,,15,0.207078,88.7,87.0,87.85
xvla-robotwin2,V-B14,imgtext,15,0.470652,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B14,imgtext,15,0.424305,50.38,,50.38
abot-m0-robotwin2,V-B14,imgtext,15,0.433871,80.42,81.16,80.79
vidar_aloha_native,V-B14,,15,0.091044,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B14,,25,0.192067,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B14,,25,0.203846,88.7,87.0,87.85
xvla-robotwin2,V-B14,imgtext,25,0.467989,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B14,imgtext,25,0.428913,50.38,,50.38
abot-m0-robotwin2,V-B14,imgtext,25,0.435674,80.42,81.16,80.79
vidar_aloha_native,V-B14,,25,0.095936,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B14,,40,0.187257,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B14,,40,0.200945,88.7,87.0,87.85
xvla-robotwin2,V-B14,imgtext,40,0.462332,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B14,imgtext,40,0.431613,50.38,,50.38
abot-m0-robotwin2,V-B14,imgtext,40,0.432660,80.42,81.16,80.79
vidar_aloha_native,V-B14,,40,0.096952,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B14,,75,0.182831,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B14,,75,0.206364,88.7,87.0,87.85
xvla-robotwin2,V-B14,imgtext,75,0.439020,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B14,imgtext,75,0.425125,50.38,,50.38
abot-m0-robotwin2,V-B14,imgtext,75,0.433527,80.42,81.16,80.79
vidar_aloha_native,V-B14,,75,0.097155,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B14,,110,0.184700,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B14,,110,0.200766,88.7,87.0,87.85
xvla-robotwin2,V-B14,imgtext,110,0.437935,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B14,imgtext,110,0.426385,50.38,,50.38
abot-m0-robotwin2,V-B14,imgtext,110,0.439388,80.42,81.16,80.79
vidar_aloha_native,V-B14,,110,0.099288,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B14,,150,0.177775,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B14,,150,0.197604,88.7,87.0,87.85
xvla-robotwin2,V-B14,imgtext,150,0.423665,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B14,imgtext,150,0.409780,50.38,,50.38
abot-m0-robotwin2,V-B14,imgtext,150,0.421935,80.42,81.16,80.79
vidar_aloha_native,V-B14,,150,0.100457,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B14,,220,0.169554,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B14,,220,0.192562,88.7,87.0,87.85
xvla-robotwin2,V-B14,imgtext,220,0.399408,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B14,imgtext,220,0.381127,50.38,,50.38
abot-m0-robotwin2,V-B14,imgtext,220,0.398458,80.42,81.16,80.79
vidar_aloha_native,V-B14,,220,0.096491,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B21,,1,0.161636,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B21,,1,0.168991,88.7,87.0,87.85
xvla-robotwin2,V-B21,imgtext,1,0.469821,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B21,imgtext,1,0.420960,50.38,,50.38
abot-m0-robotwin2,V-B21,imgtext,1,0.429929,80.42,81.16,80.79
vidar_aloha_native,V-B21,,1,0.089403,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B21,,3,0.163263,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B21,,3,0.167897,88.7,87.0,87.85
xvla-robotwin2,V-B21,imgtext,3,0.468762,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B21,imgtext,3,0.419963,50.38,,50.38
abot-m0-robotwin2,V-B21,imgtext,3,0.430427,80.42,81.16,80.79
vidar_aloha_native,V-B21,,3,0.091458,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B21,,7,0.164861,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B21,,7,0.169114,88.7,87.0,87.85
xvla-robotwin2,V-B21,imgtext,7,0.470188,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B21,imgtext,7,0.423339,50.38,,50.38
abot-m0-robotwin2,V-B21,imgtext,7,0.429285,80.42,81.16,80.79
vidar_aloha_native,V-B21,,7,0.095569,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B21,,15,0.162509,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B21,,15,0.169891,88.7,87.0,87.85
xvla-robotwin2,V-B21,imgtext,15,0.470652,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B21,imgtext,15,0.424305,50.38,,50.38
abot-m0-robotwin2,V-B21,imgtext,15,0.433871,80.42,81.16,80.79
vidar_aloha_native,V-B21,,15,0.097626,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B21,,25,0.164699,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B21,,25,0.173552,88.7,87.0,87.85
xvla-robotwin2,V-B21,imgtext,25,0.467989,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B21,imgtext,25,0.428913,50.38,,50.38
abot-m0-robotwin2,V-B21,imgtext,25,0.435674,80.42,81.16,80.79
vidar_aloha_native,V-B21,,25,0.099921,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B21,,40,0.161712,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B21,,40,0.169341,88.7,87.0,87.85
xvla-robotwin2,V-B21,imgtext,40,0.462332,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B21,imgtext,40,0.431613,50.38,,50.38
abot-m0-robotwin2,V-B21,imgtext,40,0.432660,80.42,81.16,80.79
vidar_aloha_native,V-B21,,40,0.101720,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B21,,75,0.158544,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B21,,75,0.172804,88.7,87.0,87.85
xvla-robotwin2,V-B21,imgtext,75,0.439020,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B21,imgtext,75,0.425125,50.38,,50.38
abot-m0-robotwin2,V-B21,imgtext,75,0.433527,80.42,81.16,80.79
vidar_aloha_native,V-B21,,75,0.103040,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B21,,110,0.160275,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B21,,110,0.168947,88.7,87.0,87.85
xvla-robotwin2,V-B21,imgtext,110,0.437935,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B21,imgtext,110,0.426385,50.38,,50.38
abot-m0-robotwin2,V-B21,imgtext,110,0.439388,80.42,81.16,80.79
vidar_aloha_native,V-B21,,110,0.100704,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B21,,150,0.154290,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B21,,150,0.166313,88.7,87.0,87.85
xvla-robotwin2,V-B21,imgtext,150,0.423665,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B21,imgtext,150,0.409780,50.38,,50.38
abot-m0-robotwin2,V-B21,imgtext,150,0.421935,80.42,81.16,80.79
vidar_aloha_native,V-B21,,150,0.103109,65.8,17.5,41.65
