model,feature_source,vlm_variant_used,horizon,cknna_k10,robotwin_sr_easy,robotwin_sr_hard,robotwin_sr_avg
motus-robotwin2-aloha-native,A-B21,,220,0.065224,88.7,87.0,87.85
xvla-robotwin2,A-B21,imgtext,220,0.399408,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B21,imgtext,220,0.381127,50.38,,50.38
abot-m0-robotwin2,A-B21,imgtext,220,0.398458,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B29,,1,0.068687,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B29,,1,0.077685,88.7,87.0,87.85
xvla-robotwin2,A-B29,imgtext,1,0.469821,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B29,imgtext,1,0.420960,50.38,,50.38
abot-m0-robotwin2,A-B29,imgtext,1,0.429929,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B29,,3,0.068442,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B29,,3,0.075667,88.7,87.0,87.85
xvla-robotwin2,A-B29,imgtext,3,0.468762,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B29,imgtext,3,0.419963,50.38,,50.38
abot-m0-robotwin2,A-B29,imgtext,3,0.430427,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B29,,7,0.071105,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B29,,7,0.076145,88.7,87.0,87.85
xvla-robotwin2,A-B29,imgtext,7,0.470188,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B29,imgtext,7,0.423339,50.38,,50.38
abot-m0-robotwin2,A-B29,imgtext,7,0.429285,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B29,,15,0.072181,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B29,,15,0.079453,88.7,87.0,87.85
xvla-robotwin2,A-B29,imgtext,15,0.470652,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B29,imgtext,15,0.424305,50.38,,50.38
abot-m0-robotwin2,A-B29,imgtext,15,0.433871,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B29,,25,0.073350,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B29,,25,0.076620,88.7,87.0,87.85
xvla-robotwin2,A-B29,imgtext,25,0.467989,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B29,imgtext,25,0.428913,50.38,,50.38
abot-m0-robotwin2,A-B29,imgtext,25,0.435674,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B29,,40,0.071835,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B29,,40,0.074214,88.7,87.0,87.85
xvla-robotwin2,A-B29,imgtext,40,0.462332,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B29,imgtext,40,0.431613,50.38,,50.38
abot-m0-robotwin2,A-B29,imgtext,40,0.432660,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B29,,75,0.068048,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B29,,75,0.072051,88.7,87.0,87.85
xvla-robotwin2,A-B29,imgtext,75,0.439020,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B29,imgtext,75,0.425125,50.38,,50.38
abot-m0-robotwin2,A-B29,imgtext,75,0.433527,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B29,,110,0.075608,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B29,,110,0.069742,88.7,87.0,87.85
xvla-robotwin2,A-B29,imgtext,110,0.437935,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B29,imgtext,110,0.426385,50.38,,50.38
abot-m0-robotwin2,A-B29,imgtext,110,0.439388,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B29,,150,0.076384,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B29,,150,0.069712,88.7,87.0,87.85
xvla-robotwin2,A-B29,imgtext,150,0.423665,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B29,imgtext,150,0.409780,50.38,,50.38
abot-m0-robotwin2,A-B29,imgtext,150,0.421935,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B29,,220,0.068366,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B29,,220,0.066341,88.7,87.0,87.85
xvla-robotwin2,A-B29,imgtext,220,0.399408,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B29,imgtext,220,0.381127,50.38,,50.38
abot-m0-robotwin2,A-B29,imgtext,220,0.398458,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-Norm,,1,0.056661,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-Norm,,1,0.080563,88.7,87.0,87.85
xvla-robotwin2,A-Norm,imgtext,1,0.469821,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-Norm,imgtext,1,0.420960,50.38,,50.38
abot-m0-robotwin2,A-Norm,imgtext,1,0.429929,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-Norm,,3,0.055975,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-Norm,,3,0.078555,88.7,87.0,87.85
xvla-robotwin2,A-Norm,imgtext,3,0.468762,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-Norm,imgtext,3,0.419963,50.38,,50.38
abot-m0-robotwin2,A-Norm,imgtext,3,0.430427,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-Norm,,7,0.056831,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-Norm,,7,0.078609,88.7,87.0,87.85
xvla-robotwin2,A-Norm,imgtext,7,0.470188,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-Norm,imgtext,7,0.423339,50.38,,50.38
abot-m0-robotwin2,A-Norm,imgtext,7,0.429285,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-Norm,,15,0.058249,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-Norm,,15,0.081939,88.7,87.0,87.85
xvla-robotwin2,A-Norm,imgtext,15,0.470652,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-Norm,imgtext,15,0.424305,50.38,,50.38
abot-m0-robotwin2,A-Norm,imgtext,15,0.433871,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-Norm,,25,0.061952,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-Norm,,25,0.078197,88.7,87.0,87.85
xvla-robotwin2,A-Norm,imgtext,25,0.467989,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-Norm,imgtext,25,0.428913,50.38,,50.38
abot-m0-robotwin2,A-Norm,imgtext,25,0.435674,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-Norm,,40,0.059342,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-Norm,,40,0.076645,88.7,87.0,87.85
xvla-robotwin2,A-Norm,imgtext,40,0.462332,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-Norm,imgtext,40,0.431613,50.38,,50.38
abot-m0-robotwin2,A-Norm,imgtext,40,0.432660,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-Norm,,75,0.062807,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-Norm,,75,0.074464,88.7,87.0,87.85
xvla-robotwin2,A-Norm,imgtext,75,0.439020,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-Norm,imgtext,75,0.425125,50.38,,50.38
abot-m0-robotwin2,A-Norm,imgtext,75,0.433527,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-Norm,,110,0.064719,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-Norm,,110,0.071340,88.7,87.0,87.85
xvla-robotwin2,A-Norm,imgtext,110,0.437935,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-Norm,imgtext,110,0.426385,50.38,,50.38
abot-m0-robotwin2,A-Norm,imgtext,110,0.439388,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-Norm,,150,0.064696,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-Norm,,150,0.071713,88.7,87.0,87.85
xvla-robotwin2,A-Norm,imgtext,150,0.423665,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-Norm,imgtext,150,0.409780,50.38,,50.38
abot-m0-robotwin2,A-Norm,imgtext,150,0.421935,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-Norm,,220,0.062293,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-Norm,,220,0.069629,88.7,87.0,87.85
xvla-robotwin2,A-Norm,imgtext,220,0.399408,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-Norm,imgtext,220,0.381127,50.38,,50.38
abot-m0-robotwin2,A-Norm,imgtext,220,0.398458,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,T-D1,,1,0.074283,92.9,91.6,92.25
motus-robotwin2-aloha-native,T-D1,,1,0.074284,88.7,87.0,87.85
xvla-robotwin2,T-D1,imgtext,1,0.469821,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,T-D1,imgtext,1,0.420960,50.38,,50.38
abot-m0-robotwin2,T-D1,imgtext,1,0.429929,80.42,81.16,80.79
vidar_aloha_native,T-D1,,1,0.074284,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,T-D1,,3,0.075207,92.9,91.6,92.25
motus-robotwin2-aloha-native,T-D1,,3,0.075208,88.7,87.0,87.85
xvla-robotwin2,T-D1,imgtext,3,0.468762,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,T-D1,imgtext,3,0.419963,50.38,,50.38
abot-m0-robotwin2,T-D1,imgtext,3,0.430427,80.42,81.16,80.79
vidar_aloha_native,T-D1,,3,0.075208,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,T-D1,,7,0.073087,92.9,91.6,92.25
motus-robotwin2-aloha-native,T-D1,,7,0.073088,88.7,87.0,87.85
xvla-robotwin2,T-D1,imgtext,7,0.470188,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,T-D1,imgtext,7,0.423339,50.38,,50.38
abot-m0-robotwin2,T-D1,imgtext,7,0.429285,80.42,81.16,80.79
vidar_aloha_native,T-D1,,7,0.073088,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,T-D1,,15,0.074685,92.9,91.6,92.25
motus-robotwin2-aloha-native,T-D1,,15,0.074686,88.7,87.0,87.85
xvla-robotwin2,T-D1,imgtext,15,0.470652,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,T-D1,imgtext,15,0.424305,50.38,,50.38
abot-m0-robotwin2,T-D1,imgtext,15,0.433871,80.42,81.16,80.79
vidar_aloha_native,T-D1,,15,0.074687,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,T-D1,,25,0.081004,92.9,91.6,92.25
motus-robotwin2-aloha-native,T-D1,,25,0.081005,88.7,87.0,87.85
xvla-robotwin2,T-D1,imgtext,25,0.467989,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,T-D1,imgtext,25,0.428913,50.38,,50.38
abot-m0-robotwin2,T-D1,imgtext,25,0.435674,80.42,81.16,80.79
vidar_aloha_native,T-D1,,25,0.081005,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,T-D1,,40,0.087088,92.9,91.6,92.25
motus-robotwin2-aloha-native,T-D1,,40,0.087089,88.7,87.0,87.85
xvla-robotwin2,T-D1,imgtext,40,0.462332,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,T-D1,imgtext,40,0.431613,50.38,,50.38
abot-m0-robotwin2,T-D1,imgtext,40,0.432660,80.42,81.16,80.79
vidar_aloha_native,T-D1,,40,0.087090,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,T-D1,,75,0.090925,92.9,91.6,92.25
motus-robotwin2-aloha-native,T-D1,,75,0.090926,88.7,87.0,87.85
xvla-robotwin2,T-D1,imgtext,75,0.439020,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,T-D1,imgtext,75,0.425125,50.38,,50.38
abot-m0-robotwin2,T-D1,imgtext,75,0.433527,80.42,81.16,80.79
vidar_aloha_native,T-D1,,75,0.090926,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,T-D1,,110,0.100602,92.9,91.6,92.25
motus-robotwin2-aloha-native,T-D1,,110,0.100603,88.7,87.0,87.85
xvla-robotwin2,T-D1,imgtext,110,0.437935,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,T-D1,imgtext,110,0.426385,50.38,,50.38
abot-m0-robotwin2,T-D1,imgtext,110,0.439388,80.42,81.16,80.79
vidar_aloha_native,T-D1,,110,0.100604,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,T-D1,,150,0.105248,92.9,91.6,92.25
motus-robotwin2-aloha-native,T-D1,,150,0.105249,88.7,87.0,87.85
xvla-robotwin2,T-D1,imgtext,150,0.423665,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,T-D1,imgtext,150,0.409780,50.38,,50.38
abot-m0-robotwin2,T-D1,imgtext,150,0.421935,80.42,81.16,80.79
vidar_aloha_native,T-D1,,150,0.105250,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,T-D1,,220,0.107316,92.9,91.6,92.25
motus-robotwin2-aloha-native,T-D1,,220,0.107318,88.7,87.0,87.85
xvla-robotwin2,T-D1,imgtext,220,0.399408,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,T-D1,imgtext,220,0.381127,50.38,,50.38
abot-m0-robotwin2,T-D1,imgtext,220,0.398458,80.42,81.16,80.79
vidar_aloha_native,T-D1,,220,0.107318,65.8,17.5,41.65
