model,group,N,feats_A_variant,feats_B_type,horizon,cknna_k10,mutual_knn_k10
Qwen-GR00T-Bridge-RT-1,L,6000,pre_llm_txt,proprio_seq_dtw,150,0.026578,0.021683
Qwen-GR00T-Bridge-RT-1,L,6000,pre_llm_txt,proprio_seq_dtw,220,0.031737,0.0251
Qwen-GR00T-Bridge-RT-1,L,6000,pre_llm_vt,proprio_seq_dtw,1,0.033576,0.031017
Qwen-GR00T-Bridge-RT-1,L,6000,pre_llm_vt,proprio_seq_dtw,3,0.03302,0.030917
Qwen-GR00T-Bridge-RT-1,L,6000,pre_llm_vt,proprio_seq_dtw,7,0.03454,0.031767
Qwen-GR00T-Bridge-RT-1,L,6000,pre_llm_vt,proprio_seq_dtw,15,0.037617,0.03385
Qwen-GR00T-Bridge-RT-1,L,6000,pre_llm_vt,proprio_seq_dtw,25,0.040908,0.035733
Qwen-GR00T-Bridge-RT-1,L,6000,pre_llm_vt,proprio_seq_dtw,40,0.04716,0.04
Qwen-GR00T-Bridge-RT-1,L,6000,pre_llm_vt,proprio_seq_dtw,75,0.05945,0.047533
Qwen-GR00T-Bridge-RT-1,L,6000,pre_llm_vt,proprio_seq_dtw,110,0.072231,0.054317
Qwen-GR00T-Bridge-RT-1,L,6000,pre_llm_vt,proprio_seq_dtw,150,0.082513,0.059467
Qwen-GR00T-Bridge-RT-1,L,6000,pre_llm_vt,proprio_seq_dtw,220,0.092433,0.0647
Qwen-GR00T-Bridge-RT-1,L,6000,img,proprio_seq_dtw,1,0.033015,0.0298
Qwen-GR00T-Bridge-RT-1,L,6000,img,proprio_seq_dtw,3,0.033339,0.030383
Qwen-GR00T-Bridge-RT-1,L,6000,img,proprio_seq_dtw,7,0.034951,0.031083
Qwen-GR00T-Bridge-RT-1,L,6000,img,proprio_seq_dtw,15,0.038478,0.032767
Qwen-GR00T-Bridge-RT-1,L,6000,img,proprio_seq_dtw,25,0.041084,0.03425
Qwen-GR00T-Bridge-RT-1,L,6000,img,proprio_seq_dtw,40,0.046592,0.037883
Qwen-GR00T-Bridge-RT-1,L,6000,img,proprio_seq_dtw,75,0.059131,0.044333
Qwen-GR00T-Bridge-RT-1,L,6000,img,proprio_seq_dtw,110,0.07001,0.049617
Qwen-GR00T-Bridge-RT-1,L,6000,img,proprio_seq_dtw,150,0.078559,0.053083
Qwen-GR00T-Bridge-RT-1,L,6000,img,proprio_seq_dtw,220,0.087876,0.057133
Qwen-GR00T-Bridge-RT-1,L,6000,txt,proprio_seq_dtw,1,0.021697,0.016867
Qwen-GR00T-Bridge-RT-1,L,6000,txt,proprio_seq_dtw,3,0.021333,0.016683
Qwen-GR00T-Bridge-RT-1,L,6000,txt,proprio_seq_dtw,7,0.022379,0.0173
Qwen-GR00T-Bridge-RT-1,L,6000,txt,proprio_seq_dtw,15,0.025752,0.01815
Qwen-GR00T-Bridge-RT-1,L,6000,txt,proprio_seq_dtw,25,0.027906,0.019117
Qwen-GR00T-Bridge-RT-1,L,6000,txt,proprio_seq_dtw,40,0.03194,0.021733
Qwen-GR00T-Bridge-RT-1,L,6000,txt,proprio_seq_dtw,75,0.040398,0.025833
Qwen-GR00T-Bridge-RT-1,L,6000,txt,proprio_seq_dtw,110,0.04831,0.028717
Qwen-GR00T-Bridge-RT-1,L,6000,txt,proprio_seq_dtw,150,0.053441,0.031417
Qwen-GR00T-Bridge-RT-1,L,6000,txt,proprio_seq_dtw,220,0.058182,0.034133
Qwen-GR00T-Bridge-RT-1,L,6000,imgtext,proprio_seq_dtw,1,0.034262,0.0311
Qwen-GR00T-Bridge-RT-1,L,6000,imgtext,proprio_seq_dtw,3,0.034206,0.031533
Qwen-GR00T-Bridge-RT-1,L,6000,imgtext,proprio_seq_dtw,7,0.035318,0.032067
Qwen-GR00T-Bridge-RT-1,L,6000,imgtext,proprio_seq_dtw,15,0.039541,0.033917
Qwen-GR00T-Bridge-RT-1,L,6000,imgtext,proprio_seq_dtw,25,0.042155,0.0354
Qwen-GR00T-Bridge-RT-1,L,6000,imgtext,proprio_seq_dtw,40,0.04838,0.039
Qwen-GR00T-Bridge-RT-1,L,6000,imgtext,proprio_seq_dtw,75,0.061758,0.04535
Qwen-GR00T-Bridge-RT-1,L,6000,imgtext,proprio_seq_dtw,110,0.07094,0.050633
Qwen-GR00T-Bridge-RT-1,L,6000,imgtext,proprio_seq_dtw,150,0.079798,0.053883
Qwen-GR00T-Bridge-RT-1,L,6000,imgtext,proprio_seq_dtw,220,0.089569,0.058317
Qwen-OFT-Bridge-RT-1,L,6000,vit_raw,proprio_seq_dtw,1,0.025036,0.022667
Qwen-OFT-Bridge-RT-1,L,6000,vit_raw,proprio_seq_dtw,3,0.024775,0.02295
Qwen-OFT-Bridge-RT-1,L,6000,vit_raw,proprio_seq_dtw,7,0.026522,0.024083
Qwen-OFT-Bridge-RT-1,L,6000,vit_raw,proprio_seq_dtw,15,0.030146,0.026367
Qwen-OFT-Bridge-RT-1,L,6000,vit_raw,proprio_seq_dtw,25,0.032955,0.028417
Qwen-OFT-Bridge-RT-1,L,6000,vit_raw,proprio_seq_dtw,40,0.03943,0.0331
Qwen-OFT-Bridge-RT-1,L,6000,vit_raw,proprio_seq_dtw,75,0.052154,0.041383
Qwen-OFT-Bridge-RT-1,L,6000,vit_raw,proprio_seq_dtw,110,0.064955,0.049217
Qwen-OFT-Bridge-RT-1,L,6000,vit_raw,proprio_seq_dtw,150,0.0764,0.0556
Qwen-OFT-Bridge-RT-1,L,6000,vit_raw,proprio_seq_dtw,220,0.088918,0.064
Qwen-OFT-Bridge-RT-1,L,6000,pre_llm,proprio_seq_dtw,1,0.025218,0.022733
Qwen-OFT-Bridge-RT-1,L,6000,pre_llm,proprio_seq_dtw,3,0.024786,0.022983
Qwen-OFT-Bridge-RT-1,L,6000,pre_llm,proprio_seq_dtw,7,0.026471,0.02395
Qwen-OFT-Bridge-RT-1,L,6000,pre_llm,proprio_seq_dtw,15,0.030094,0.02625
Qwen-OFT-Bridge-RT-1,L,6000,pre_llm,proprio_seq_dtw,25,0.033126,0.028733
Qwen-OFT-Bridge-RT-1,L,6000,pre_llm,proprio_seq_dtw,40,0.038872,0.032883
Qwen-OFT-Bridge-RT-1,L,6000,pre_llm,proprio_seq_dtw,75,0.051786,0.040867
Qwen-OFT-Bridge-RT-1,L,6000,pre_llm,proprio_seq_dtw,110,0.063763,0.048117
Qwen-OFT-Bridge-RT-1,L,6000,pre_llm,proprio_seq_dtw,150,0.074473,0.053833
Qwen-OFT-Bridge-RT-1,L,6000,pre_llm,proprio_seq_dtw,220,0.086342,0.062183
Qwen-OFT-Bridge-RT-1,L,6000,pre_llm_txt,proprio_seq_dtw,1,0.006965,0.008067
Qwen-OFT-Bridge-RT-1,L,6000,pre_llm_txt,proprio_seq_dtw,3,0.007044,0.008083
Qwen-OFT-Bridge-RT-1,L,6000,pre_llm_txt,proprio_seq_dtw,7,0.008177,0.0087
Qwen-OFT-Bridge-RT-1,L,6000,pre_llm_txt,proprio_seq_dtw,15,0.009307,0.009917
Qwen-OFT-Bridge-RT-1,L,6000,pre_llm_txt,proprio_seq_dtw,25,0.010413,0.01095
Qwen-OFT-Bridge-RT-1,L,6000,pre_llm_txt,proprio_seq_dtw,40,0.013214,0.012933
Qwen-OFT-Bridge-RT-1,L,6000,pre_llm_txt,proprio_seq_dtw,75,0.017762,0.0159
Qwen-OFT-Bridge-RT-1,L,6000,pre_llm_txt,proprio_seq_dtw,110,0.023107,0.019883
Qwen-OFT-Bridge-RT-1,L,6000,pre_llm_txt,proprio_seq_dtw,150,0.027435,0.022117
Qwen-OFT-Bridge-RT-1,L,6000,pre_llm_txt,proprio_seq_dtw,220,0.032837,0.02565
Qwen-OFT-Bridge-RT-1,L,6000,pre_llm_vt,proprio_seq_dtw,1,0.02522,0.022733
Qwen-OFT-Bridge-RT-1,L,6000,pre_llm_vt,proprio_seq_dtw,3,0.024787,0.022983
