model,feature,step_pct,cknna,cos_dist,n_eps,n_with_feat,random_mean,random_std
motus,T-D1,75,0.32524630427360535,0.3684108555316925,500,500,0.012378301471471786,0.0017764515065016094
motus,T-D1,100,0.32524630427360535,0.3684108555316925,500,500,0.012378301471471786,0.0017764515065016094
lbva_v25,V-D1,0,0.11558426916599274,0.019859880208969116,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,V-D1,25,0.13126443326473236,0.016344066709280014,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,V-D1,50,0.17010195553302765,0.011689226143062115,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,V-D1,75,0.28158465027809143,0.007819370366632938,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,V-D1,100,0.3754919171333313,0.006375264376401901,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,V-B0,0,0.14196661114692688,0.0014846143312752247,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,V-B0,25,0.1603974997997284,0.00197166227735579,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,V-B0,50,0.23768408596515656,0.002065064385533333,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,V-B0,75,0.32552745938301086,0.002169638639315963,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,V-B0,100,0.38433995842933655,0.004125336650758982,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,V-B7,0,0.4042222201824188,0.001671455567702651,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,V-B7,25,0.3987389802932739,0.0018496327102184296,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,V-B7,50,0.4308713376522064,0.0018006630707532167,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,V-B7,75,0.44911640882492065,0.00176397489849478,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,V-B7,100,0.4551337659358978,0.002146732294932008,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,V-B14,0,0.4975893199443817,0.005941478535532951,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,V-B14,25,0.5036956667900085,0.006130403373390436,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,V-B14,50,0.5135366320610046,0.005994080100208521,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,V-B14,75,0.5140018463134766,0.006003725808113813,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,V-B14,100,0.5127544403076172,0.007107921410351992,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,V-B21,0,0.42182013392448425,0.0071028415113687515,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,V-B21,25,0.4347437024116516,0.00756137166172266,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,V-B21,50,0.4275047183036804,0.00725698284804821,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,V-B21,75,0.4452522099018097,0.006825143005698919,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,V-B21,100,0.44906890392303467,0.007795506622642279,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,V-B29,0,0.42290809750556946,0.004048401955515146,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,V-B29,25,0.43964967131614685,0.0038982464466243982,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,V-B29,50,0.4413992464542389,0.0041131931357085705,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,V-B29,75,0.44687026739120483,0.00487118773162365,500,500,0.011908029485493899,0.0012560038080729936
