model,feature_source,vlm_variant_used,horizon,cknna_k10,robotwin_sr_easy,robotwin_sr_hard,robotwin_sr_avg
motus-robotwin2-lingbot,A-B29,,3,0.003530,88.7,87.0,87.85
xvla-robotwin2,A-B29,imgtext,3,0.028085,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B29,imgtext,3,0.023804,50.38,,50.38
abot-m0-robotwin2,A-B29,imgtext,3,0.024935,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B29,,7,0.001303,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B29,,7,0.003618,88.7,87.0,87.85
xvla-robotwin2,A-B29,imgtext,7,0.030164,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B29,imgtext,7,0.024785,50.38,,50.38
abot-m0-robotwin2,A-B29,imgtext,7,0.026629,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B29,,15,0.001920,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B29,,15,0.004037,88.7,87.0,87.85
xvla-robotwin2,A-B29,imgtext,15,0.033544,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B29,imgtext,15,0.027887,50.38,,50.38
abot-m0-robotwin2,A-B29,imgtext,15,0.028972,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B29,,25,0.002202,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B29,,25,0.004365,88.7,87.0,87.85
xvla-robotwin2,A-B29,imgtext,25,0.036773,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B29,imgtext,25,0.030515,50.38,,50.38
abot-m0-robotwin2,A-B29,imgtext,25,0.032086,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B29,,40,0.002432,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B29,,40,0.005620,88.7,87.0,87.85
xvla-robotwin2,A-B29,imgtext,40,0.043632,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B29,imgtext,40,0.037335,50.38,,50.38
abot-m0-robotwin2,A-B29,imgtext,40,0.038159,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B29,,75,0.002809,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B29,,75,0.006384,88.7,87.0,87.85
xvla-robotwin2,A-B29,imgtext,75,0.057561,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B29,imgtext,75,0.049523,50.38,,50.38
abot-m0-robotwin2,A-B29,imgtext,75,0.049968,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B29,,110,0.003576,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B29,,110,0.007784,88.7,87.0,87.85
xvla-robotwin2,A-B29,imgtext,110,0.069072,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B29,imgtext,110,0.061125,50.38,,50.38
abot-m0-robotwin2,A-B29,imgtext,110,0.062665,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B29,,150,0.004227,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B29,,150,0.008378,88.7,87.0,87.85
xvla-robotwin2,A-B29,imgtext,150,0.078711,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B29,imgtext,150,0.072623,50.38,,50.38
abot-m0-robotwin2,A-B29,imgtext,150,0.074039,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B29,,220,0.005595,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B29,,220,0.010372,88.7,87.0,87.85
xvla-robotwin2,A-B29,imgtext,220,0.091810,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B29,imgtext,220,0.085443,50.38,,50.38
abot-m0-robotwin2,A-B29,imgtext,220,0.086349,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-Norm,,1,0.002821,92.9,91.6,92.25
motus-robotwin2-lingbot,A-Norm,,1,0.003503,88.7,87.0,87.85
xvla-robotwin2,A-Norm,imgtext,1,0.027974,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-Norm,imgtext,1,0.023777,50.38,,50.38
abot-m0-robotwin2,A-Norm,imgtext,1,0.024561,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-Norm,,3,0.002894,92.9,91.6,92.25
motus-robotwin2-lingbot,A-Norm,,3,0.003574,88.7,87.0,87.85
xvla-robotwin2,A-Norm,imgtext,3,0.028085,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-Norm,imgtext,3,0.023804,50.38,,50.38
abot-m0-robotwin2,A-Norm,imgtext,3,0.024935,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-Norm,,7,0.002414,92.9,91.6,92.25
motus-robotwin2-lingbot,A-Norm,,7,0.003730,88.7,87.0,87.85
xvla-robotwin2,A-Norm,imgtext,7,0.030164,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-Norm,imgtext,7,0.024785,50.38,,50.38
abot-m0-robotwin2,A-Norm,imgtext,7,0.026629,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-Norm,,15,0.002824,92.9,91.6,92.25
motus-robotwin2-lingbot,A-Norm,,15,0.004080,88.7,87.0,87.85
xvla-robotwin2,A-Norm,imgtext,15,0.033544,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-Norm,imgtext,15,0.027887,50.38,,50.38
abot-m0-robotwin2,A-Norm,imgtext,15,0.028972,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-Norm,,25,0.002755,92.9,91.6,92.25
motus-robotwin2-lingbot,A-Norm,,25,0.004476,88.7,87.0,87.85
xvla-robotwin2,A-Norm,imgtext,25,0.036773,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-Norm,imgtext,25,0.030515,50.38,,50.38
abot-m0-robotwin2,A-Norm,imgtext,25,0.032086,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-Norm,,40,0.003155,92.9,91.6,92.25
motus-robotwin2-lingbot,A-Norm,,40,0.005875,88.7,87.0,87.85
xvla-robotwin2,A-Norm,imgtext,40,0.043632,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-Norm,imgtext,40,0.037335,50.38,,50.38
abot-m0-robotwin2,A-Norm,imgtext,40,0.038159,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-Norm,,75,0.003646,92.9,91.6,92.25
motus-robotwin2-lingbot,A-Norm,,75,0.006651,88.7,87.0,87.85
xvla-robotwin2,A-Norm,imgtext,75,0.057561,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-Norm,imgtext,75,0.049523,50.38,,50.38
abot-m0-robotwin2,A-Norm,imgtext,75,0.049968,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-Norm,,110,0.004510,92.9,91.6,92.25
motus-robotwin2-lingbot,A-Norm,,110,0.008287,88.7,87.0,87.85
xvla-robotwin2,A-Norm,imgtext,110,0.069072,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-Norm,imgtext,110,0.061125,50.38,,50.38
abot-m0-robotwin2,A-Norm,imgtext,110,0.062665,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-Norm,,150,0.005441,92.9,91.6,92.25
motus-robotwin2-lingbot,A-Norm,,150,0.008566,88.7,87.0,87.85
xvla-robotwin2,A-Norm,imgtext,150,0.078711,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-Norm,imgtext,150,0.072623,50.38,,50.38
abot-m0-robotwin2,A-Norm,imgtext,150,0.074039,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-Norm,,220,0.005758,92.9,91.6,92.25
motus-robotwin2-lingbot,A-Norm,,220,0.010724,88.7,87.0,87.85
xvla-robotwin2,A-Norm,imgtext,220,0.091810,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-Norm,imgtext,220,0.085443,50.38,,50.38
abot-m0-robotwin2,A-Norm,imgtext,220,0.086349,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,T-D1,,1,0.007515,92.9,91.6,92.25
motus-robotwin2-lingbot,T-D1,,1,0.007636,88.7,87.0,87.85
xvla-robotwin2,T-D1,imgtext,1,0.027974,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,T-D1,imgtext,1,0.023777,50.38,,50.38
abot-m0-robotwin2,T-D1,imgtext,1,0.024561,80.42,81.16,80.79
vidar_3cam_modeB,T-D1,,1,0.008069,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,T-D1,,3,0.007826,92.9,91.6,92.25
motus-robotwin2-lingbot,T-D1,,3,0.008171,88.7,87.0,87.85
xvla-robotwin2,T-D1,imgtext,3,0.028085,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,T-D1,imgtext,3,0.023804,50.38,,50.38
abot-m0-robotwin2,T-D1,imgtext,3,0.024935,80.42,81.16,80.79
vidar_3cam_modeB,T-D1,,3,0.008013,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,T-D1,,7,0.008130,92.9,91.6,92.25
motus-robotwin2-lingbot,T-D1,,7,0.008360,88.7,87.0,87.85
xvla-robotwin2,T-D1,imgtext,7,0.030164,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,T-D1,imgtext,7,0.024785,50.38,,50.38
abot-m0-robotwin2,T-D1,imgtext,7,0.026629,80.42,81.16,80.79
vidar_3cam_modeB,T-D1,,7,0.008763,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,T-D1,,15,0.009587,92.9,91.6,92.25
motus-robotwin2-lingbot,T-D1,,15,0.009881,88.7,87.0,87.85
xvla-robotwin2,T-D1,imgtext,15,0.033544,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,T-D1,imgtext,15,0.027887,50.38,,50.38
abot-m0-robotwin2,T-D1,imgtext,15,0.028972,80.42,81.16,80.79
vidar_3cam_modeB,T-D1,,15,0.010423,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,T-D1,,25,0.010408,92.9,91.6,92.25
motus-robotwin2-lingbot,T-D1,,25,0.010941,88.7,87.0,87.85
xvla-robotwin2,T-D1,imgtext,25,0.036773,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,T-D1,imgtext,25,0.030515,50.38,,50.38
abot-m0-robotwin2,T-D1,imgtext,25,0.032086,80.42,81.16,80.79
vidar_3cam_modeB,T-D1,,25,0.011172,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,T-D1,,40,0.013072,92.9,91.6,92.25
motus-robotwin2-lingbot,T-D1,,40,0.012883,88.7,87.0,87.85
xvla-robotwin2,T-D1,imgtext,40,0.043632,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,T-D1,imgtext,40,0.037335,50.38,,50.38
abot-m0-robotwin2,T-D1,imgtext,40,0.038159,80.42,81.16,80.79
vidar_3cam_modeB,T-D1,,40,0.014249,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,T-D1,,75,0.019158,92.9,91.6,92.25
motus-robotwin2-lingbot,T-D1,,75,0.018485,88.7,87.0,87.85
xvla-robotwin2,T-D1,imgtext,75,0.057561,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,T-D1,imgtext,75,0.049523,50.38,,50.38
abot-m0-robotwin2,T-D1,imgtext,75,0.049968,80.42,81.16,80.79
vidar_3cam_modeB,T-D1,,75,0.019645,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,T-D1,,110,0.024526,92.9,91.6,92.25
motus-robotwin2-lingbot,T-D1,,110,0.024644,88.7,87.0,87.85
xvla-robotwin2,T-D1,imgtext,110,0.069072,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,T-D1,imgtext,110,0.061125,50.38,,50.38
abot-m0-robotwin2,T-D1,imgtext,110,0.062665,80.42,81.16,80.79
vidar_3cam_modeB,T-D1,,110,0.024701,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,T-D1,,150,0.030119,92.9,91.6,92.25
motus-robotwin2-lingbot,T-D1,,150,0.029288,88.7,87.0,87.85
xvla-robotwin2,T-D1,imgtext,150,0.078711,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,T-D1,imgtext,150,0.072623,50.38,,50.38
abot-m0-robotwin2,T-D1,imgtext,150,0.074039,80.42,81.16,80.79
vidar_3cam_modeB,T-D1,,150,0.027848,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,T-D1,,220,0.035105,92.9,91.6,92.25
motus-robotwin2-lingbot,T-D1,,220,0.033854,88.7,87.0,87.85
xvla-robotwin2,T-D1,imgtext,220,0.091810,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,T-D1,imgtext,220,0.085443,50.38,,50.38
abot-m0-robotwin2,T-D1,imgtext,220,0.086349,80.42,81.16,80.79
vidar_3cam_modeB,T-D1,,220,0.032795,65.8,17.5,41.65
