model,feature_source,vlm_variant_used,horizon,cknna_k10,robotwin_sr_easy,robotwin_sr_hard,robotwin_sr_avg
lingbot-va-posttrain-robotwin,V-B7,,25,0.009420,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B7,,25,0.019598,88.7,87.0,87.85
xvla-robotwin2,V-B7,imgtext,25,0.036773,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B7,imgtext,25,0.030515,50.38,,50.38
abot-m0-robotwin2,V-B7,imgtext,25,0.032086,80.42,81.16,80.79
vidar_3cam_modeB,V-B7,,25,0.010994,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B7,,40,0.010563,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B7,,40,0.023132,88.7,87.0,87.85
xvla-robotwin2,V-B7,imgtext,40,0.043632,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B7,imgtext,40,0.037335,50.38,,50.38
abot-m0-robotwin2,V-B7,imgtext,40,0.038159,80.42,81.16,80.79
vidar_3cam_modeB,V-B7,,40,0.012146,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B7,,75,0.012575,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B7,,75,0.030961,88.7,87.0,87.85
xvla-robotwin2,V-B7,imgtext,75,0.057561,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B7,imgtext,75,0.049523,50.38,,50.38
abot-m0-robotwin2,V-B7,imgtext,75,0.049968,80.42,81.16,80.79
vidar_3cam_modeB,V-B7,,75,0.015676,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B7,,110,0.016105,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B7,,110,0.038501,88.7,87.0,87.85
xvla-robotwin2,V-B7,imgtext,110,0.069072,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B7,imgtext,110,0.061125,50.38,,50.38
abot-m0-robotwin2,V-B7,imgtext,110,0.062665,80.42,81.16,80.79
vidar_3cam_modeB,V-B7,,110,0.018707,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B7,,150,0.019753,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B7,,150,0.042521,88.7,87.0,87.85
