model,group,N,feats_A_variant,feats_B_type,horizon,cknna_k10,mutual_knn_k10
ibot-base-standalone,L,6000,vit_raw,proprio_seq_dtw,150,0.075936,0.056317
ibot-base-standalone,L,6000,vit_raw,proprio_seq_dtw,220,0.089705,0.064483
ijepa-vith14-standalone,L,6000,vit_raw,proprio_seq_dtw,1,0.022174,0.0205
ijepa-vith14-standalone,L,6000,vit_raw,proprio_seq_dtw,3,0.022327,0.020767
ijepa-vith14-standalone,L,6000,vit_raw,proprio_seq_dtw,7,0.023575,0.021567
ijepa-vith14-standalone,L,6000,vit_raw,proprio_seq_dtw,15,0.026803,0.023833
ijepa-vith14-standalone,L,6000,vit_raw,proprio_seq_dtw,25,0.029707,0.02585
ijepa-vith14-standalone,L,6000,vit_raw,proprio_seq_dtw,40,0.035748,0.03095
ijepa-vith14-standalone,L,6000,vit_raw,proprio_seq_dtw,75,0.047508,0.0388
ijepa-vith14-standalone,L,6000,vit_raw,proprio_seq_dtw,110,0.060321,0.046233
ijepa-vith14-standalone,L,6000,vit_raw,proprio_seq_dtw,150,0.070446,0.052167
ijepa-vith14-standalone,L,6000,vit_raw,proprio_seq_dtw,220,0.083619,0.06055
mae-base-standalone,L,6000,vit_raw,proprio_seq_dtw,1,0.019714,0.017917
mae-base-standalone,L,6000,vit_raw,proprio_seq_dtw,3,0.019731,0.017983
mae-base-standalone,L,6000,vit_raw,proprio_seq_dtw,7,0.020539,0.018683
mae-base-standalone,L,6000,vit_raw,proprio_seq_dtw,15,0.023698,0.020533
mae-base-standalone,L,6000,vit_raw,proprio_seq_dtw,25,0.025466,0.022133
mae-base-standalone,L,6000,vit_raw,proprio_seq_dtw,40,0.030763,0.026183
mae-base-standalone,L,6000,vit_raw,proprio_seq_dtw,75,0.041395,0.0338
mae-base-standalone,L,6000,vit_raw,proprio_seq_dtw,110,0.053977,0.040983
mae-base-standalone,L,6000,vit_raw,proprio_seq_dtw,150,0.064987,0.047033
mae-base-standalone,L,6000,vit_raw,proprio_seq_dtw,220,0.0741,0.05355
mae-huge-standalone,L,6000,vit_raw,proprio_seq_dtw,1,0.019947,0.0179
mae-huge-standalone,L,6000,vit_raw,proprio_seq_dtw,3,0.020078,0.0181
mae-huge-standalone,L,6000,vit_raw,proprio_seq_dtw,7,0.020818,0.018583
mae-huge-standalone,L,6000,vit_raw,proprio_seq_dtw,15,0.023882,0.020517
mae-huge-standalone,L,6000,vit_raw,proprio_seq_dtw,25,0.025804,0.022033
mae-huge-standalone,L,6000,vit_raw,proprio_seq_dtw,40,0.031096,0.02635
mae-huge-standalone,L,6000,vit_raw,proprio_seq_dtw,75,0.040952,0.0337
mae-huge-standalone,L,6000,vit_raw,proprio_seq_dtw,110,0.053992,0.041217
mae-huge-standalone,L,6000,vit_raw,proprio_seq_dtw,150,0.064171,0.046933
mae-huge-standalone,L,6000,vit_raw,proprio_seq_dtw,220,0.073509,0.053633
mae-large-standalone,L,6000,vit_raw,proprio_seq_dtw,1,0.019666,0.017533
mae-large-standalone,L,6000,vit_raw,proprio_seq_dtw,3,0.019858,0.017817
mae-large-standalone,L,6000,vit_raw,proprio_seq_dtw,7,0.020847,0.018533
mae-large-standalone,L,6000,vit_raw,proprio_seq_dtw,15,0.024466,0.020583
mae-large-standalone,L,6000,vit_raw,proprio_seq_dtw,25,0.026381,0.022183
mae-large-standalone,L,6000,vit_raw,proprio_seq_dtw,40,0.031574,0.026083
mae-large-standalone,L,6000,vit_raw,proprio_seq_dtw,75,0.041817,0.033717
mae-large-standalone,L,6000,vit_raw,proprio_seq_dtw,110,0.054896,0.04085
mae-large-standalone,L,6000,vit_raw,proprio_seq_dtw,150,0.065546,0.046733
mae-large-standalone,L,6000,vit_raw,proprio_seq_dtw,220,0.07492,0.053283
openclip-l14-laion2b-standalone,L,6000,vit_raw,proprio_seq_dtw,1,0.023823,0.022033
openclip-l14-laion2b-standalone,L,6000,vit_raw,proprio_seq_dtw,3,0.023732,0.02245
openclip-l14-laion2b-standalone,L,6000,vit_raw,proprio_seq_dtw,7,0.025075,0.0234
openclip-l14-laion2b-standalone,L,6000,vit_raw,proprio_seq_dtw,15,0.028084,0.02565
openclip-l14-laion2b-standalone,L,6000,vit_raw,proprio_seq_dtw,25,0.030194,0.027267
openclip-l14-laion2b-standalone,L,6000,vit_raw,proprio_seq_dtw,40,0.036356,0.03155
openclip-l14-laion2b-standalone,L,6000,vit_raw,proprio_seq_dtw,75,0.049956,0.040533
openclip-l14-laion2b-standalone,L,6000,vit_raw,proprio_seq_dtw,110,0.06137,0.047617
openclip-l14-laion2b-standalone,L,6000,vit_raw,proprio_seq_dtw,150,0.073701,0.054733
openclip-l14-laion2b-standalone,L,6000,vit_raw,proprio_seq_dtw,220,0.085172,0.061467
siglip-so400m-standalone,L,6000,vit_raw,proprio_seq_dtw,1,0.023329,0.021933
siglip-so400m-standalone,L,6000,vit_raw,proprio_seq_dtw,3,0.023469,0.0223
siglip-so400m-standalone,L,6000,vit_raw,proprio_seq_dtw,7,0.024734,0.0232
siglip-so400m-standalone,L,6000,vit_raw,proprio_seq_dtw,15,0.028093,0.025117
siglip-so400m-standalone,L,6000,vit_raw,proprio_seq_dtw,25,0.030473,0.0272
siglip-so400m-standalone,L,6000,vit_raw,proprio_seq_dtw,40,0.036618,0.031783
siglip-so400m-standalone,L,6000,vit_raw,proprio_seq_dtw,75,0.049843,0.040683
siglip-so400m-standalone,L,6000,vit_raw,proprio_seq_dtw,110,0.06216,0.04805
siglip-so400m-standalone,L,6000,vit_raw,proprio_seq_dtw,150,0.073298,0.054717
siglip-so400m-standalone,L,6000,vit_raw,proprio_seq_dtw,220,0.085658,0.06185
